resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,positionDiff,status,year,circuitId,race_name,race_date,circuit_name,location,country,lat,lng,geometry,dob,driver_nat,driver_name,constr_name,constr_nat
435,39,13,6,5,1,1,1,1,10.0,65,1:31:36.230,5496230,14,1,1:22.680,202.685,1,0,Finished,2007,4,Spanish Grand Prix,2007-05-13,Circuit de Barcelona-Catalunya,Montmeló,Spain,41.57,2.26111,POINT (2.26111 41.57),1981-04-25,Brazilian,Felipe Massa,Ferrari,Italian
459,40,13,6,5,3,3,3,3,6.0,78,+1:09.114,6098443,47,4,1:16.183,157.830,1,0,Finished,2007,6,Monaco Grand Prix,2007-05-27,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056,POINT (7.42056 43.7347),1981-04-25,Brazilian,Felipe Massa,Ferrari,Italian
524,43,13,6,5,1,2,2,2,8.0,70,+2.414,5456614,42,1,1:16.099,208.670,1,1,Finished,2007,8,French Grand Prix,2007-07-01,Circuit de Nevers Magny-Cours,Magny Cours,France,46.8642,3.16361,POINT (3.16361 46.8642),1981-04-25,Brazilian,Felipe Massa,Ferrari,Italian
549,44,13,6,5,4,5,5,5,4.0,59,+54.063,4957137,17,2,1:20.858,228.890,1,1,Finished,2007,9,British Grand Prix,2007-07-08,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694,POINT (-1.01694 52.0786),1981-04-25,Brazilian,Felipe Massa,Ferrari,Italian
568,45,13,6,5,3,2,2,2,8.0,60,+8.155,7594513,34,1,1:32.853,199.592,1,-1,Finished,2007,20,European Grand Prix,2007-07-22,Nürburgring,Nürburg,Germany,50.3356,6.9475,POINT (6.9475 50.3356),1981-04-25,Brazilian,Felipe Massa,Ferrari,Italian
601,46,13,6,5,14,13,13,13,0.0,69,\N,\N,37,11,1:20.981,194.756,11,-1,+1 Lap,2007,11,Hungarian Grand Prix,2007-08-05,Hungaroring,Budapest,Hungary,47.5789,19.2486,POINT (19.2486 47.5789),1981-04-25,Brazilian,Felipe Massa,Ferrari,Italian
656,49,13,6,5,2,2,2,2,8.0,44,+4.695,4843761,34,1,1:48.036,233.388,1,0,Finished,2007,13,Belgian Grand Prix,2007-09-16,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139,POINT (5.97139 50.4372),1981-04-25,Brazilian,Felipe Massa,Ferrari,Italian
701,51,13,6,5,3,3,3,3,6.0,56,+12.891,5891286,56,1,1:37.454,201.362,1,0,Finished,2007,17,Chinese Grand Prix,2007-10-07,Shanghai International Circuit,Shanghai,China,31.3389,121.22,POINT (121.22 31.3389),1981-04-25,Brazilian,Felipe Massa,Ferrari,Italian
751,53,13,6,6,2,9,9,9,0.0,57,+1:09.907,5456112,28,6,1:32.739,210.086,1,7,Finished,2006,3,Bahrain Grand Prix,2006-03-12,Bahrain International Circuit,Sakhir,Bahrain,26.0325,50.5106,POINT (50.5106 26.0325),1981-04-25,Brazilian,Felipe Massa,Ferrari,Italian
769,54,13,6,6,21,5,5,5,4.0,56,+43.254,5483783,51,8,1:35.954,207.962,1,-16,Finished,2006,2,Malaysian Grand Prix,2006-03-19,Sepang International Circuit,Kuala Lumpur,Malaysia,2.76083,101.738,POINT (101.738 2.76083),1981-04-25,Brazilian,Felipe Massa,Ferrari,Italian
812,56,13,6,6,4,4,4,4,5.0,62,+17.096,5483582,12,10,1:25.528,208.731,1,0,Finished,2006,21,San Marino Grand Prix,2006-04-23,Autodromo Enzo e Dino Ferrari,Imola,Italy,44.3439,11.7167,POINT (11.7167 44.3439),1981-04-25,Brazilian,Felipe Massa,Ferrari,Italian
833,57,13,6,6,3,3,3,3,6.0,60,+4.447,5763212,19,5,1:33.099,199.065,1,0,Finished,2006,20,European Grand Prix,2006-05-07,Nürburgring,Nürburg,Germany,50.3356,6.9475,POINT (6.9475 50.3356),1981-04-25,Brazilian,Felipe Massa,Ferrari,Italian
856,58,13,6,6,4,4,4,4,5.0,66,+29.853,5211612,42,1,1:16.648,217.320,1,0,Finished,2006,4,Spanish Grand Prix,2006-05-14,Circuit de Barcelona-Catalunya,Montmeló,Spain,41.57,2.26111,POINT (2.26111 41.57),1981-04-25,Brazilian,Felipe Massa,Ferrari,Italian
883,59,13,6,6,21,9,9,9,0.0,77,\N,\N,40,7,1:16.612,156.946,11,-12,+1 Lap,2006,6,Monaco Grand Prix,2006-05-28,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056,POINT (7.42056 43.7347),1981-04-25,Brazilian,Felipe Massa,Ferrari,Italian
901,60,13,6,6,4,5,5,5,4.0,60,+31.559,5183486,43,4,1:22.371,224.685,1,1,Finished,2006,9,British Grand Prix,2006-06-11,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694,POINT (-1.01694 52.0786),1981-04-25,Brazilian,Felipe Massa,Ferrari,Italian
965,63,13,6,6,2,3,3,3,6.0,70,+22.5,5550303,18,2,1:17.141,205.851,1,1,Finished,2006,8,French Grand Prix,2006-07-16,Circuit de Nevers Magny-Cours,Magny Cours,France,46.8642,3.16361,POINT (3.16361 46.8642),1981-04-25,Brazilian,Felipe Massa,Ferrari,Italian
986,64,13,6,6,3,2,2,2,8.0,67,+0.7,5272393,18,2,1:16.392,215.551,1,-1,Finished,2006,10,German Grand Prix,2006-07-30,Hockenheimring,Hockenheim,Germany,49.3278,8.56583,POINT (8.56583 49.3278),1981-04-25,Brazilian,Felipe Massa,Ferrari,Italian
1013,65,13,6,6,2,7,7,7,2.0,69,\N,\N,65,1,1:23.516,188.845,11,5,+1 Lap,2006,11,Hungarian Grand Prix,2006-08-06,Hungaroring,Budapest,Hungary,47.5789,19.2486,POINT (19.2486 47.5789),1981-04-25,Brazilian,Felipe Massa,Ferrari,Italian
1090,68,13,6,6,20,\N,R,18,0.0,44,\N,\N,42,7,1:39.397,197.426,4,-2,Collision,2006,17,Chinese Grand Prix,2006-10-01,Shanghai International Circuit,Shanghai,China,31.3389,121.22,POINT (121.22 31.3389),1981-04-25,Brazilian,Felipe Massa,Ferrari,Italian
7582,2,13,6,3,16,9,9,9,0.0,31,+1:16.932,4329024,17,13,1:39.250,201.055,1,-7,Finished,2009,2,Malaysian Grand Prix,2009-04-05,Sepang International Circuit,Kuala Lumpur,Malaysia,2.76083,101.738,POINT (101.738 2.76083),1981-04-25,Brazilian,Felipe Massa,Ferrari,Italian
7612,3,13,6,3,13,\N,R,19,0.0,20,\N,\N,16,19,1:56.484,168.466,40,6,Electronics,2009,17,Chinese Grand Prix,2009-04-19,Shanghai International Circuit,Shanghai,China,31.3389,121.22,POINT (121.22 31.3389),1981-04-25,Brazilian,Felipe Massa,Ferrari,Italian
7627,4,13,6,3,8,14,14,14,0.0,56,\N,\N,41,7,1:35.065,204.946,11,6,+1 Lap,2009,3,Bahrain Grand Prix,2009-04-26,Bahrain International Circuit,Sakhir,Bahrain,26.0325,50.5106,POINT (50.5106 26.0325),1981-04-25,Brazilian,Felipe Massa,Ferrari,Italian
7639,5,13,6,3,4,6,6,6,3.0,66,+50.827,5890029,14,3,1:23.089,201.687,1,2,Finished,2009,4,Spanish Grand Prix,2009-05-10,Circuit de Barcelona-Catalunya,Montmeló,Spain,41.57,2.26111,POINT (2.26111 41.57),1981-04-25,Brazilian,Felipe Massa,Ferrari,Italian
7657,6,13,6,3,5,4,4,4,5.0,78,+15.110,6059392,50,1,1:15.154,159.991,1,-1,Finished,2009,6,Monaco Grand Prix,2009-05-24,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056,POINT (7.42056 43.7347),1981-04-25,Brazilian,Felipe Massa,Ferrari,Italian
7697,8,13,6,3,11,4,4,4,5.0,60,+45.043,5014371,22,6,1:21.509,227.062,1,-7,Finished,2009,9,British Grand Prix,2009-06-21,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694,POINT (-1.01694 52.0786),1981-04-25,Brazilian,Felipe Massa,Ferrari,Italian
7716,9,13,6,3,8,3,3,3,6.0,60,+15.906,5819216,53,8,1:34.458,196.201,1,-5,Finished,2009,20,German Grand Prix,2009-07-12,Nürburgring,Nürburg,Germany,50.3356,6.9475,POINT (6.9475 50.3356),1981-04-25,Brazilian,Felipe Massa,Ferrari,Italian
7753,10,13,6,3,0,\N,W,20,0.0,0,\N,\N,\N,\N,\N,\N,54,20,Withdrew,2009,11,Hungarian Grand Prix,2009-07-26,Hungaroring,Budapest,Hungary,47.5789,19.2486,POINT (19.2486 47.5789),1981-04-25,Brazilian,Felipe Massa,Ferrari,Italian
20324,337,13,6,7,2,2,2,2,18.0,49,+16.099,5976495,38,5,1:59.732,189.392,1,0,Finished,2010,3,Bahrain Grand Prix,2010-03-14,Bahrain International Circuit,Sakhir,Bahrain,26.0325,50.5106,POINT (50.5106 26.0325),1981-04-25,Brazilian,Felipe Massa,Ferrari,Italian
20377,339,13,6,7,21,7,7,7,6.0,56,+27.068,5655480,48,5,1:37.784,204.070,1,-14,Finished,2010,2,Malaysian Grand Prix,2010-04-04,Sepang International Circuit,Kuala Lumpur,Malaysia,2.76083,101.738,POINT (101.738 2.76083),1981-04-25,Brazilian,Felipe Massa,Ferrari,Italian
20403,340,13,6,7,7,9,9,9,2.0,56,+57.796,6459959,14,13,1:44.594,187.616,1,2,Finished,2010,17,Chinese Grand Prix,2010-04-18,Shanghai International Circuit,Shanghai,China,31.3389,121.22,POINT (121.22 31.3389),1981-04-25,Brazilian,Felipe Massa,Ferrari,Italian
20424,341,13,6,7,9,6,6,6,8.0,66,+1:05.767,5809868,64,9,1:25.497,196.006,1,-3,Finished,2010,4,Spanish Grand Prix,2010-05-09,Circuit de Barcelona-Catalunya,Montmeló,Spain,41.57,2.26111,POINT (2.26111 41.57),1981-04-25,Brazilian,Felipe Massa,Ferrari,Italian
20446,342,13,6,7,4,4,4,4,12.0,78,+2.666,6616021,68,4,1:15.503,159.251,1,0,Finished,2010,6,Monaco Grand Prix,2010-05-16,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056,POINT (7.42056 43.7347),1981-04-25,Brazilian,Felipe Massa,Ferrari,Italian
20553,346,13,6,7,7,15,15,15,0.0,52,+1:07.489,5145689,52,2,1:31.646,231.407,1,8,Finished,2010,9,British Grand Prix,2010-07-11,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694,POINT (-1.01694 52.0786),1981-04-25,Brazilian,Felipe Massa,Ferrari,Italian
20564,347,13,6,7,3,2,2,2,18.0,67,+4.196,5263060,66,3,1:16.097,216.386,1,-1,Finished,2010,10,German Grand Prix,2010-07-25,Hockenheimring,Hockenheim,Germany,49.3278,8.56583,POINT (8.56583 49.3278),1981-04-25,Brazilian,Felipe Massa,Ferrari,Italian
20590,348,13,6,7,4,4,4,4,12.0,70,+27.474,6093045,69,5,1:23.329,189.269,1,0,Finished,2010,11,Hungarian Grand Prix,2010-08-01,Hungaroring,Budapest,Hungary,47.5789,19.2486,POINT (19.2486 47.5789),1981-04-25,Brazilian,Felipe Massa,Ferrari,Italian
20614,349,13,6,7,6,4,4,4,12.0,44,+8.264,5352532,26,4,1:50.111,228.990,1,-2,Finished,2010,13,Belgian Grand Prix,2010-08-29,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139,POINT (5.97139 50.4372),1981-04-25,Brazilian,Felipe Massa,Ferrari,Italian
20666,351,13,6,7,24,8,8,8,4.0,61,+1:53.297,7186876,45,12,1:52.079,162.945,1,-16,Finished,2010,15,Singapore Grand Prix,2010-09-26,Marina Bay Street Circuit,Marina Bay,Singapore,1.2914,103.864,POINT (103.864 1.2914),1981-04-25,Brazilian,Felipe Massa,Ferrari,Italian
20764,355,13,6,7,6,10,10,10,1.0,55,+50.868,6027705,52,14,1:42.725,194.640,1,4,Finished,2010,24,Abu Dhabi Grand Prix,2010-11-14,Yas Marina Circuit,Abu Dhabi,UAE,24.4672,54.6031,POINT (54.6031 24.4672),1981-04-25,Brazilian,Felipe Massa,Ferrari,Italian
20805,842,13,6,6,7,5,5,5,10.0,56,+36.958,5896790,41,9,1:41.999,195.637,1,-2,Finished,2011,2,Malaysian Grand Prix,2011-04-10,Sepang International Circuit,Kuala Lumpur,Malaysia,2.76083,101.738,POINT (101.738 2.76083),1981-04-25,Brazilian,Felipe Massa,Ferrari,Italian
20830,843,13,6,6,6,6,6,6,8.0,56,+15.840,5834066,39,10,1:41.678,192.997,1,0,Finished,2011,17,Chinese Grand Prix,2011-04-17,Shanghai International Circuit,Shanghai,China,31.3389,121.22,POINT (121.22 31.3389),1981-04-25,Brazilian,Felipe Massa,Ferrari,Italian
20894,845,13,6,6,8,\N,R,22,0.0,58,\N,\N,24,11,1:29.081,188.120,6,14,Gearbox,2011,4,Spanish Grand Prix,2011-05-22,Circuit de Barcelona-Catalunya,Montmeló,Spain,41.57,2.26111,POINT (2.26111 41.57),1981-04-25,Brazilian,Felipe Massa,Ferrari,Italian
20917,846,13,6,6,6,\N,R,21,0.0,32,\N,\N,16,17,1:20.202,149.921,3,15,Accident,2011,6,Monaco Grand Prix,2011-05-29,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056,POINT (7.42056 43.7347),1981-04-25,Brazilian,Felipe Massa,Ferrari,Italian
20972,849,13,6,6,4,5,5,5,10.0,52,+29.010,5350206,49,2,1:35.474,222.129,1,1,Finished,2011,9,British Grand Prix,2011-07-10,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694,POINT (-1.01694 52.0786),1981-04-25,Brazilian,Felipe Massa,Ferrari,Italian
20996,850,13,6,6,5,5,5,5,10.0,60,+52.252,5902586,51,4,1:34.609,195.888,1,0,Finished,2011,20,German Grand Prix,2011-07-24,Nürburgring,Nürburg,Germany,50.3356,6.9475,POINT (6.9475 50.3356),1981-04-25,Brazilian,Felipe Massa,Ferrari,Italian
21021,851,13,6,6,4,6,6,6,8.0,70,+1:23.176,6485513,61,1,1:23.415,189.073,1,2,Finished,2011,11,Hungarian Grand Prix,2011-07-31,Hungaroring,Budapest,Hungary,47.5789,19.2486,POINT (19.2486 47.5789),1981-04-25,Brazilian,Felipe Massa,Ferrari,Italian
21047,852,13,6,6,4,8,8,8,4.0,44,+1:06.076,5270969,42,7,1:51.564,226.008,1,4,Finished,2011,13,Belgian Grand Prix,2011-08-28,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139,POINT (5.97139 50.4372),1981-04-25,Brazilian,Felipe Massa,Ferrari,Italian
21096,854,13,6,6,6,9,9,9,2.0,60,\N,\N,26,8,1:52.550,162.263,11,3,+1 Lap,2011,15,Singapore Grand Prix,2011-09-25,Marina Bay Street Circuit,Marina Bay,Singapore,1.2914,103.864,POINT (103.864 1.2914),1981-04-25,Brazilian,Felipe Massa,Ferrari,Italian
21188,858,13,6,6,6,5,5,5,10.0,55,+50.578,5882464,51,10,1:44.288,191.722,1,-1,Finished,2011,24,Abu Dhabi Grand Prix,2011-11-13,Yas Marina Circuit,Abu Dhabi,UAE,24.4672,54.6031,POINT (54.6031 24.4672),1981-04-25,Brazilian,Felipe Massa,Ferrari,Italian
21270,861,13,6,6,12,15,15,15,0.0,56,+1:37.319,9989131,56,13,1:42.051,195.537,1,3,Finished,2012,2,Malaysian Grand Prix,2012-03-25,Sepang International Circuit,Kuala Lumpur,Malaysia,2.76083,101.738,POINT (101.738 2.76083),1981-04-25,Brazilian,Felipe Massa,Ferrari,Italian
21292,862,13,6,6,12,13,13,13,0.0,56,+42.779,5829708,48,14,1:41.240,193.832,1,1,Finished,2012,17,Chinese Grand Prix,2012-04-15,Shanghai International Circuit,Shanghai,China,31.3389,121.22,POINT (121.22 31.3389),1981-04-25,Brazilian,Felipe Massa,Ferrari,Italian
21312,863,13,6,6,14,9,9,9,2.0,57,+1:04.999,5775989,42,12,1:38.123,198.558,1,-5,Finished,2012,3,Bahrain Grand Prix,2012-04-22,Bahrain International Circuit,Sakhir,Bahrain,26.0325,50.5106,POINT (50.5106 26.0325),1981-04-25,Brazilian,Felipe Massa,Ferrari,Italian
21342,864,13,6,6,16,15,15,15,0.0,65,\N,\N,47,11,1:28.448,189.467,11,-1,+1 Lap,2012,4,Spanish Grand Prix,2012-05-13,Circuit de Barcelona-Catalunya,Montmeló,Spain,41.57,2.26111,POINT (2.26111 41.57),1981-04-25,Brazilian,Felipe Massa,Ferrari,Italian
21357,865,13,6,6,7,6,6,6,8.0,78,+6.195,6372752,41,10,1:19.101,152.008,1,-1,Finished,2012,6,Monaco Grand Prix,2012-05-27,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056,POINT (7.42056 43.7347),1981-04-25,Brazilian,Felipe Massa,Ferrari,Italian
21427,868,13,6,6,5,4,4,4,12.0,52,+9.519,5120807,50,5,1:35.041,223.141,1,-1,Finished,2012,9,British Grand Prix,2012-07-08,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694,POINT (-1.01694 52.0786),1981-04-25,Brazilian,Felipe Massa,Ferrari,Italian
21459,869,13,6,6,13,12,12,12,0.0,67,+71.428,5537290,67,5,1:19.225,207.843,1,-1,Finished,2012,10,German Grand Prix,2012-07-22,Hockenheimring,Hockenheim,Germany,49.3278,8.56583,POINT (8.56583 49.3278),1981-04-25,Brazilian,Felipe Massa,Ferrari,Italian
21480,870,13,6,6,7,9,9,9,2.0,69,+38.350,6103853,54,11,1:25.920,183.561,1,2,Finished,2012,11,Hungarian Grand Prix,2012-07-29,Hungaroring,Budapest,Hungary,47.5789,19.2486,POINT (19.2486 47.5789),1981-04-25,Brazilian,Felipe Massa,Ferrari,Italian
21500,871,13,6,6,14,5,5,5,10.0,44,+29.845,5378375,30,3,1:53.464,222.223,1,-9,Finished,2012,13,Belgian Grand Prix,2012-09-02,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139,POINT (5.97139 50.4372),1981-04-25,Brazilian,Felipe Massa,Ferrari,Italian
21551,873,13,6,6,13,8,8,8,4.0,59,+42.829,7268973,47,13,1:53.997,160.204,1,-5,Finished,2012,15,Singapore Grand Prix,2012-09-23,Marina Bay Street Circuit,Marina Bay,Singapore,1.2914,103.864,POINT (103.864 1.2914),1981-04-25,Brazilian,Felipe Massa,Ferrari,Italian
21646,877,13,6,6,8,7,7,7,6.0,55,+22.896,6381563,53,11,1:45.700,189.161,1,-1,Finished,2012,24,Abu Dhabi Grand Prix,2012-11-04,Yas Marina Circuit,Abu Dhabi,UAE,24.4672,54.6031,POINT (54.6031 24.4672),1981-04-25,Brazilian,Felipe Massa,Ferrari,Italian
21667,878,13,6,6,11,4,4,4,12.0,56,+46.013,5801282,56,2,1:39.402,199.661,1,-7,Finished,2012,69,United States Grand Prix,2012-11-18,Circuit of the Americas,Austin,USA,30.1328,-97.6411,POINT (-97.6411 30.1328),1981-04-25,Brazilian,Felipe Massa,Ferrari,Italian
21738,881,13,6,4,2,5,5,5,10.0,56,+25.648,5962329,50,2,1:39.805,199.937,1,3,Finished,2013,2,Malaysian Grand Prix,2013-03-24,Sepang International Circuit,Kuala Lumpur,Malaysia,2.76083,101.738,POINT (101.738 2.76083),1981-04-25,Brazilian,Felipe Massa,Ferrari,Italian
21761,882,13,6,4,5,6,6,6,8.0,56,+40.827,5827772,55,10,1:40.284,195.680,1,1,Finished,2013,17,Chinese Grand Prix,2013-04-14,Shanghai International Circuit,Shanghai,China,31.3389,121.22,POINT (121.22 31.3389),1981-04-25,Brazilian,Felipe Massa,Ferrari,Italian
21792,883,13,6,4,4,15,15,15,0.0,57,+1:26.364,5846862,42,16,1:38.839,197.120,1,11,Finished,2013,3,Bahrain Grand Prix,2013-04-21,Bahrain International Circuit,Sakhir,Bahrain,26.0325,50.5106,POINT (50.5106 26.0325),1981-04-25,Brazilian,Felipe Massa,Ferrari,Italian
21802,884,13,6,4,9,3,3,3,15.0,66,+26.049,5982645,56,2,1:26.394,193.971,1,-6,Finished,2013,4,Spanish Grand Prix,2013-05-12,Circuit de Barcelona-Catalunya,Montmeló,Spain,41.57,2.26111,POINT (2.26111 41.57),1981-04-25,Brazilian,Felipe Massa,Ferrari,Italian
21842,885,13,6,4,21,\N,R,21,0.0,28,\N,\N,28,16,1:20.064,150.179,3,0,Accident,2013,6,Monaco Grand Prix,2013-05-26,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056,POINT (7.42056 43.7347),1981-04-25,Brazilian,Felipe Massa,Ferrari,Italian
21871,887,13,6,4,11,6,6,6,8.0,52,+14.573,5594029,51,6,1:35.273,222.598,1,-5,Finished,2013,9,British Grand Prix,2013-06-30,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694,POINT (-1.01694 52.0786),1981-04-25,Brazilian,Felipe Massa,Ferrari,Italian
21909,888,13,6,4,7,\N,R,22,0.0,3,\N,\N,3,20,1:38.890,187.408,20,15,Spun off,2013,20,German Grand Prix,2013-07-07,Nürburgring,Nürburg,Germany,50.3356,6.9475,POINT (6.9475 50.3356),1981-04-25,Brazilian,Felipe Massa,Ferrari,Italian
21917,890,13,6,4,7,8,8,8,4.0,70,+56.447,6205892,59,5,1:25.176,185.164,1,1,Finished,2013,11,Hungarian Grand Prix,2013-07-28,Hungaroring,Budapest,Hungary,47.5789,19.2486,POINT (19.2486 47.5789),1981-04-25,Brazilian,Felipe Massa,Ferrari,Italian
21938,891,13,6,4,10,7,7,7,6.0,44,+53.922,5076118,40,9,1:52.182,224.763,1,-3,Finished,2013,13,Belgian Grand Prix,2013-08-25,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139,POINT (5.97139 50.4372),1981-04-25,Brazilian,Felipe Massa,Ferrari,Italian
21981,893,13,6,4,6,6,6,6,8.0,61,+1:03.877,7217009,45,7,1:50.509,165.000,1,0,Finished,2013,15,Singapore Grand Prix,2013-09-22,Marina Bay Street Circuit,Marina Bay,Singapore,1.2914,103.864,POINT (103.864 1.2914),1981-04-25,Brazilian,Felipe Massa,Ferrari,Italian
22071,897,13,6,4,7,8,8,8,4.0,55,+1:22.886,5968992,52,9,1:45.447,189.615,1,1,Finished,2013,24,Abu Dhabi Grand Prix,2013-11-03,Yas Marina Circuit,Abu Dhabi,UAE,24.4672,54.6031,POINT (54.6031 24.4672),1981-04-25,Brazilian,Felipe Massa,Ferrari,Italian
22098,898,13,6,4,13,13,13,13,0.0,56,+1:26.914,6044062,53,11,1:41.209,196.097,1,0,Finished,2013,69,United States Grand Prix,2013-11-17,Circuit of the Americas,Austin,USA,30.1328,-97.6411,POINT (-97.6411 30.1328),1981-04-25,Brazilian,Felipe Massa,Ferrari,Italian
22556,927,20,6,5,2,1,1,1,25.0,56,1:41:05.793,6065793,46,3,1:43.648,193.501,1,-1,Finished,2015,2,Malaysian Grand Prix,2015-03-29,Sepang International Circuit,Kuala Lumpur,Malaysia,2.76083,101.738,POINT (101.738 2.76083),1987-07-03,German,Sebastian Vettel,Ferrari,Italian
22578,928,20,6,5,3,3,3,3,15.0,56,+2.988,5984996,15,5,1:43.018,190.487,1,0,Finished,2015,17,Chinese Grand Prix,2015-04-12,Shanghai International Circuit,Shanghai,China,31.3389,121.22,POINT (121.22 31.3389),1987-07-03,German,Sebastian Vettel,Ferrari,Italian
22600,929,20,6,5,2,5,5,5,10.0,57,+43.989,5749798,38,2,1:36.624,201.639,1,3,Finished,2015,3,Bahrain Grand Prix,2015-04-19,Bahrain International Circuit,Sakhir,Bahrain,26.0325,50.5106,POINT (50.5106 26.0325),1987-07-03,German,Sebastian Vettel,Ferrari,Italian
22618,930,20,6,5,3,3,3,3,15.0,66,+45.342,6117897,61,6,1:30.737,184.687,1,0,Finished,2015,4,Spanish Grand Prix,2015-05-10,Circuit de Barcelona-Catalunya,Montmeló,Spain,41.57,2.26111,POINT (2.26111 41.57),1987-07-03,German,Sebastian Vettel,Ferrari,Italian
22637,931,20,6,5,3,2,2,2,18.0,78,+4.486,6562906,75,4,1:18.854,152.347,1,-1,Finished,2015,6,Monaco Grand Prix,2015-05-24,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056,POINT (7.42056 43.7347),1987-07-03,German,Sebastian Vettel,Ferrari,Italian
22679,933,20,6,5,3,4,4,4,12.0,71,+18.181,5435111,44,3,1:11.499,217.815,1,1,Finished,2015,70,Austrian Grand Prix,2015-06-21,Red Bull Ring,Spielberg,Austria,47.2197,14.7647,POINT (14.7647 47.2197),1987-07-03,German,Sebastian Vettel,Ferrari,Italian
22698,934,20,6,5,6,3,3,3,15.0,52,+25.443,5513172,31,6,1:37.707,217.053,1,-3,Finished,2015,9,British Grand Prix,2015-07-05,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694,POINT (-1.01694 52.0786),1987-07-03,German,Sebastian Vettel,Ferrari,Italian
22716,936,20,6,5,3,1,1,1,25.0,69,1:46:09.985,6369985,63,5,1:26.772,181.759,1,-2,Finished,2015,11,Hungarian Grand Prix,2015-07-26,Hungaroring,Budapest,Hungary,47.5789,19.2486,POINT (19.2486 47.5789),1987-07-03,German,Sebastian Vettel,Ferrari,Italian
22747,937,20,6,5,8,12,12,12,0.0,42,\N,\N,29,14,1:55.316,218.654,27,4,Tyre,2015,13,Belgian Grand Prix,2015-08-23,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139,POINT (5.97139 50.4372),1987-07-03,German,Sebastian Vettel,Ferrari,Italian
22776,939,20,6,5,1,1,1,1,25.0,61,2:01:22.118,7282118,53,2,1:50.069,165.659,1,0,Finished,2015,15,Singapore Grand Prix,2015-09-20,Marina Bay Street Circuit,Marina Bay,Singapore,1.2914,103.864,POINT (103.864 1.2914),1987-07-03,German,Sebastian Vettel,Ferrari,Italian
22817,941,20,6,5,4,2,2,2,18.0,53,+5.953,5836977,51,1,1:40.071,210.378,1,-2,Finished,2015,71,Russian Grand Prix,2015-10-11,Sochi Autodrom,Sochi,Russia,43.4057,39.9578,POINT (39.9578 43.4057),1987-07-03,German,Sebastian Vettel,Ferrari,Italian
22839,942,20,6,5,13,3,3,3,15.0,56,+3.381,6656084,52,3,1:41.330,195.863,1,-10,Finished,2015,69,United States Grand Prix,2015-10-25,Circuit of the Americas,Austin,USA,30.1328,-97.6411,POINT (-97.6411 30.1328),1987-07-03,German,Sebastian Vettel,Ferrari,Italian
22874,943,20,6,5,3,\N,R,18,0.0,50,\N,\N,48,6,1:21.847,189.309,3,15,Accident,2015,32,Mexican Grand Prix,2015-11-01,Autódromo Hermanos Rodríguez,Mexico City,Mexico,19.4042,-99.0907,POINT (-99.0907 19.4042),1987-07-03,German,Sebastian Vettel,Ferrari,Italian
22900,945,20,6,5,15,4,4,4,12.0,55,+43.735,5953910,48,2,1:44.550,191.242,1,-11,Finished,2015,24,Abu Dhabi Grand Prix,2015-11-29,Yas Marina Circuit,Abu Dhabi,UAE,24.4672,54.6031,POINT (54.6031 24.4672),1987-07-03,German,Sebastian Vettel,Ferrari,Italian
22959,949,20,6,5,3,\N,W,21,0.0,0,\N,\N,\N,0,\N,\N,5,18,Engine,2016,3,Bahrain Grand Prix,2016-04-03,Bahrain International Circuit,Sakhir,Bahrain,26.0325,50.5106,POINT (50.5106 26.0325),1987-07-03,German,Sebastian Vettel,Ferrari,Italian
22962,950,20,6,5,4,2,2,2,18.0,56,+37.776,5971667,37,9,1:40.610,195.046,1,-2,Finished,2016,17,Chinese Grand Prix,2016-04-17,Shanghai International Circuit,Shanghai,China,31.3389,121.22,POINT (121.22 31.3389),1987-07-03,German,Sebastian Vettel,Ferrari,Italian
23002,951,20,6,5,7,\N,R,20,0.0,0,\N,\N,\N,0,\N,\N,4,13,Collision,2016,71,Russian Grand Prix,2016-05-01,Sochi Autodrom,Sochi,Russia,43.4057,39.9578,POINT (39.9578 43.4057),1987-07-03,German,Sebastian Vettel,Ferrari,Italian
